source_kind,external_id,title,path,mime_type,url,created_time,modified_time,priority,status,legal_status,notes
eurlex_html,EURLEX-02016M-TXT-20250315,Tratado de la Union Europea version consolidada 2025-03-15,data/sources/leyes_originales/EURLEX/EURLEX-02016M-TXT-20250315_TUE_consolidado_2025-03-15.html,text/html,http://publications.europa.eu/resource/celex/02016M%2FTXT-20250315.SPA.xhtml,,,alta,descargado,pendiente_de_validacion,XHTML oficial Publications Office/EUR-Lex; version consolidada 2025-03-15; instrumento documental sin efecto juridico propio segun EUR-Lex.
eurlex_html,EURLEX-02016E-TXT-20250315,Tratado de Funcionamiento de la Union Europea version consolidada 2025-03-15,data/sources/leyes_originales/EURLEX/EURLEX-02016E-TXT-20250315_TFUE_consolidado_2025-03-15.html,text/html,http://publications.europa.eu/resource/celex/02016E%2FTXT-20250315.SPA.xhtml,,,alta,descargado,pendiente_de_validacion,XHTML oficial Publications Office/EUR-Lex; version consolidada 2025-03-15; instrumento documental sin efecto juridico propio segun EUR-Lex.
